id;total_commits;merge_requests;issues_closed;code_reviews;last_updated
1;99473;16197;85627;67257;2024-08-25T19:51:36
2;37630;36303;5461;2291;2024-08-25T18:09:43
3;29190;90692;83032;12374;2024-08-25T19:56:36
4;9771;2686;10591;97453;2024-08-26T00:27:40
5;58398;82808;41122;80174;2024-08-26T03:07:36
6;94708;2725;65811;77880;2024-08-25T21:41:35
7;82388;59910;96480;88220;2024-08-25T16:21:42
8;91484;61274;24319;88991;2024-08-25T20:00:25
9;42668;15912;46926;6611;2024-08-26T02:39:21
10;84201;60086;26401;89078;2024-08-25T13:58:28
