id;given_by;comments;points;category
1;Innovative Somoni;../fake-data/blob/hipster.txt;73491;Iowa Lesotho Marketing
2;Executive radical bandwidth;../fake-data/blob/hipster.txt;51262;engineer quantifying
3;Card Right-sized;../fake-data/blob/hipster.txt;14597;bus metrics
4;Music Executive Investment;../fake-data/blob/hipster.txt;51453;Danish
5;Loan channels alarm;../fake-data/blob/hipster.txt;60603;Brooks
6;incentivize indigo;../fake-data/blob/hipster.txt;82650;Shirt
7;data-warehouse;../fake-data/blob/hipster.txt;65654;Chair Direct impactful
8;e-business auxiliary Functionality;../fake-data/blob/hipster.txt;22881;Lead Re-contextualized Cambridgeshire
9;Product;../fake-data/blob/hipster.txt;64166;up
10;Tuvalu Denmark TCP;../fake-data/blob/hipster.txt;67092;ivory wireless
