id;title;description;release_date;application
1;dot-com open SDD;Shoals;2024-08-25T23:59:03;Communications
2;Kuwait;Account;2024-08-25T14:36:07;Direct
3;Pizza pink;bluetooth;2024-08-26T02:22:27;Auto Virginia
4;Distributed Investor;payment;2024-08-25T23:09:24;Cotton Czech
5;Sausages Future;magenta pink metrics;2024-08-25T12:04:55;Plastic COM indexing
6;alarm;Central solutions;2024-08-26T04:39:47;users
7;user Corporate;program;2024-08-25T17:09:53;Square Cambridgeshire
8;CSS synergize overriding;Refined;2024-08-25T14:28:21;real-time
9;microchip Som array;Quetzal Configurable Bike;2024-08-26T04:56:00;Baby virtual
10;SAS;Oklahoma Hat;2024-08-25T11:57:25;alliance
